,COUNTY,AREA,EP_POV150_z,EP_UNEMP_z,EP_HBURD_z,EP_NOHSDP_z,EP_AGE65_z,EP_AGE17_z,EP_DISABL_z,EP_SNGPNT_z,EP_MINRTY_z,EP_MOBILE_z,EP_CROWD_z,EP_NOVEH_z,EP_NOINT_z,EP_AFAM_z,EP_HISP_z,EP_TWOMORE_z,RESL_VALUE_z,CRF_VALUE_z,ALR_VALA_z,HRCN_ALRB_z,HRCN_ALRA_z,IFLD_ALRB_z,RISK_VALUE_log,HRCN_RISKV_log,IFLD_RISKV_log,POPULATION_DENS_log,BUILDVALUE_DENS_log,AGRIVALUE_DENS_log,E_HU_PER_SQMI_log,E_HH_PER_SQMI_log,EP_AIAN_log,EP_ASIAN_log,EP_GROUPQ_log,EP_MUNIT_log,EP_LIMENG_log,IFLD_EXP_AREA_RATIO_log,EP_OTHERRACE_log,EP_UNINSUR_log,ALR_VALB_log,log1p_HRCN_UNEXP_RATIO_z,RISK_SPCTL_z,SOVI_SPCTL_z,RESL_SPCTL_z
0,ALAMANCE,438.62387049,-0.3638919442339438,-0.3874348160150027,-0.02786150910831611,-0.2601187082946553,-0.7410951617397998,0.5746508672504334,-1.1303284407728003,-0.0622700837903515,0.30525037257761256,-0.8625628904758973,-0.4278105862169131,-0.29443738643739453,-0.5746980698057153,-0.00848149130857355,1.3260491344413623,0.6019362967978199,0.3453398703869391,-1.1948016612933485,-0.8773788486873778,-0.5137919005172525,-0.5577381587506254,-0.11240462466422231,17.467545258674907,14.736032730531367,17.028234485772217,5.9701798730364795,18.110238454409576,11.716448117350273,5.169824989855624,5.075780753301031,0.09531017980432487,0.9555114450274363,1.3609765531356006,2.1972245773362196,1.33500106673234,0.12660619349223873,0.4700036292457355,2.3702437414678603,0.00115716412026165,-0.3900370240438445,0.4683539369402776,-1.3181300527342832,0.5369625991475462
1,ALEXANDER,266.29362708,-0.6633914868133214,-0.05582156407634176,-1.846918715353661,0.312391367377792,-0.027523479184284484,-0.23770131140721756,0.16164718265171896,-0.8958066384643495,-1.1056897197154172,0.8495742637883755,0.8429139272986699,-1.156970342712051,-0.19530932554527514,-0.9508694144833766,-0.7014013077332734,0.1279707087680403,-0.6291477250882834,0.5619408110559763,-1.357963665948584,-0.550366930511793,-0.8734517441787228,0.1722043644147037,16.533757129607473,13.140748531444032,16.070726313613115,4.926022213445027,17.124683562060454,13.656069636969852,4.137988953439008,3.9876866970144342,0.18232155679395465,0.7419373447293773,1.5040773967762742,0.4700036292457355,0.4054651081081644,0.09209243082699102,0.18232155679395465,2.312535423847214,0.0012715977493446696,-0.3900370240438445,-0.9474959877523222,0.6764088428504874,-0.7794618374722443
2,ALLEGHANY,238.64392578,1.2084806543077888,-0.22162819004567222,-0.7186427266698396,1.2333858369378154,1.5219464600791206,-1.4385697494228746,0.2517850168441264,-1.4841853829401126,-1.1113561457888832,-0.3666335078614183,1.160595055677566,-0.059201125635215665,0.38136156573059443,-1.1142166545003425,0.48127811686859756,-1.4835122905332103,-1.4777080697024008,1.6421886859904553,0.485411745046777,-0.5473850471136399,-0.9333888211461882,0.15717932915324603,16.263833130401334,12.184016605803354,15.475200243868889,3.8410461997096386,16.458613736702002,12.039978695359627,3.5234057579320304,3.092099426436328,0.26236426446749106,0.26236426446749106,0.9932517730102833,0.832909122935104,0.9162907318741551,0.05747018544337969,0.0,2.667228206581955,0.001183097907779553,-0.3900370240438445,-1.4516134583956686,1.4742244010843957,-1.5069595524463393
3,ANSON,542.52172884,1.3282804713395393,0.3863294385085401,1.2385707230878102,1.1836023520967331,-0.21101334041284528,-0.13174233158230633,1.2132552482298158,1.1144874051611748,1.2685428050668297,0.6016095724811362,-0.32191687675728103,0.5288895263702318,-0.27118707439736295,1.7443600457965602,-0.8220828816722398,-0.725167349685563,-0.6363285180422896,1.3289987749702927,-0.9791958512178283,-0.5355938057828797,-0.219710156251502,-0.5619676339991038,16.64386928990934,14.958745583182155,15.786300395061575,3.728526229621973,16.139062579528414,13.488221995513262,2.982973121033875,2.806588683319277,0.18232155679395465,0.9162907318741551,2.2823823856765264,0.6418538861723948,0.4700036292457355,0.039461107214218534,0.09531017980432487,2.6390573296152584,0.0011203954995957605,-0.3900370240438445,-0.7573716845382596,1.3354738692176291,-0.8141045858043442
4,ASHE,433.71190668,-0.21414217294425494,-0.3321659406918927,-1.5245541471582837,0.0634739431723802,1.2365177870569148,-1.2266517897730533,0.4020147404981403,-0.6996803903057616,-1.4343424319764442,-0.1777080287701882,-0.9572791335150727,-0.6080857341736331,0.35101046618975934,-1.164477343736332,-0.6531286781576867,-1.673098525745122,-0.3385189154242948,0.8404183658218031,0.8465225047167051,-0.5504782513528498,-0.9505901829245484,2.137347625435525,17.112888459147943,12.664173740860754,16.706814404165353,4.130978721329401,16.704288431565406,12.041426767660408,3.7121660601617763,3.3581625284750958,0.18232155679395465,0.33647223662121295,0.9555114450274363,1.1939224684724346,0.6931471805599453,0.06110489517461947,0.09531017980432487,2.4849066497880004,0.0017188418807239888,-0.3900370240438445,0.001685192687579792,0.9192222736173291,-0.2944633608228479
5,AVERY,250.00849458,-0.019467470267659395,-0.3874348160150027,-1.2942937413044426,0.0883656855929213,0.4413950550664829,-2.2862415880221625,0.7325201325369711,-0.7977435143850555,-1.185019684743941,-0.8153315207030898,0.31344538000051025,-0.4904676037725437,0.07785057032224209,-1.001130103719366,-0.7014013077332734,-0.4407879968676953,0.3094119354972532,0.4009202624893568,-0.8059589220786852,-0.5511476018107414,-0.9527701880122305,0.6164385114247075,16.57073634833971,12.42910997578879,16.21362281312713,4.27929572935868,17.250065566568477,11.546786157874608,4.0475865742602934,3.3033285275886173,0.5877866649021191,0.4054651081081644,2.89591193827178,2.1972245773362196,0.6418538861723948,0.07550507462627781,0.0,2.747270914255491,0.0013237611485297836,-0.3900370240438445,-0.871158199340615,0.6764088428504874,0.46767710248334665
6,BEAUFORT,972.56821467,0.25008211805378056,-0.05582156407634176,0.9392321954778174,0.11325742801346238,0.7879870151648759,-0.2730209713488538,0.16164718265171896,0.28095085048717716,0.0502611992716433,0.8259585789019719,-0.7454917145958089,0.01921096129884407,0.1840794187151653,0.22397419640787808,0.09509708026390513,-0.5355811144736513,0.520430326092591,0.4324108869612199,0.19040506611616634,1.8343249813402365,1.5255924865407513,-1.1239730206820109,18.145129151011915,17.84950043797541,16.003889307004087,3.8472746129711974,16.20515589032627,11.907139227888953,3.407170402701644,3.168960070461397,0.09531017980432487,0.18232155679395465,0.7884573603642702,1.1631508098056809,0.6931471805599453,0.045484375871321814,0.18232155679395465,2.509599262378372,0.004864282567951725,0.5215238330826502,0.971031071953215,0.6764088428504874,0.9180328308006434
7,BERTIE,748.79194221,1.4780302426292282,0.3863294385085401,1.9293519406493338,1.6814372005075569,0.6860482033712308,-1.1560124698897785,2.084587645423096,0.7222349088439998,1.8408518384868946,1.2274252219708361,-0.21602316729764928,2.1755433519854854,2.6880451308340723,2.6239221074263765,-1.5944449548816246,-0.819960467291519,-0.4279114855569172,0.991000240866652,-0.3692947559763274,0.41479875871551086,0.4359084554428592,-0.48436118626569086,17.101253178468347,16.528762173219636,15.644404316941243,3.2168434713978504,15.700677531846594,13.012262106395571,2.6307180233388667,2.396885624194703,0.26236426446749106,0.5877866649021191,2.2512917986064953,0.33647223662121295,0.0,0.02792793994006963,0.09531017980432487,2.5572273113676265,0.002542421910051455,0.02467966505650327,-0.015598834877335013,1.0059413560340582,-0.46767710248334665
8,BLADEN,896.74408083,1.3582304255974775,-0.11109043939945175,0.7550238707947444,-0.23522696587411376,0.4617828174252122,-0.02578335175739514,-0.529409546156745,0.08482460232858922,0.6792344934263675,1.3927350161756622,-0.7454917145958089,0.8425378741064707,0.29030826710808905,0.889928328784739,0.022688135900525114,-2.147064113774902,-0.4668743382415627,0.5766988420350687,-0.15145541752652397,0.6452628936854372,0.7407216887932859,-0.4989767777601995,17.832942539771555,17.272741003036934,16.257911980821127,3.5265063137539823,16.17040221849808,13.37067542990846,2.919927562070046,2.6399216899272426,1.308332819650179,0.26236426446749106,0.9162907318741551,0.8754687373538999,0.9162907318741551,0.04441484592934459,0.0,2.3978952727983707,0.0031622557203652524,-0.3900370240438445,0.8082731457169343,0.6764088428504874,-0.5369625991475462
9,BRUNSWICK,1060.13836305,-1.4420902975197032,-0.3874348160150027,-0.2811479555475409,-1.5544893141627965,2.480171290939385,-2.0743236283723405,-0.49936360142594227,-1.5822485070194063,-0.8393676942625159,0.011217450321042073,-0.6395980051361768,-1.3137945165801703,-1.591459904423696,-0.6870007959944318,-0.7014013077332734,0.8863156496156875,1.2452845538260806,0.2563382552716683,0.6507191815146922,1.5714367185600335,2.1521314286311726,-0.670072727939696,19.1462939858116,18.819872533133392,17.306565082081203,4.863806305637391,17.272076044004812,10.932392147990187,4.676633460827925,4.285776083409952,0.18232155679395465,0.4700036292457355,0.5306282510621704,1.6094379124341003,0.33647223662121295,0.05811221464453786,0.18232155679395465,2.2823823856765264,0.004524720432451905,1.032974258317615,1.3152712876211003,0.45093922856699165,1.4376740557821397
