COUNTY,Factor1,Factor2,Factor3,Factor4,Factor5
ALAMANCE,1.0849436638370678,-0.35720038120135866,0.9387624458293935,0.0901686326615085,-0.0589587420394653
ALEXANDER,-0.7417989133086708,-0.9661288797273564,-0.2991078180626128,-0.8710150337690991,-0.07846892866653789
ALLEGHANY,-0.6652288106765023,-0.09580939561008593,-1.4005031478414836,-0.9987654862368123,1.4501200809339103
ANSON,-0.7587204356659872,1.32820732209571,0.04903211781186245,0.10553728822856402,0.6159119347587476
ASHE,-0.42742779709343415,-0.4687140300673319,-1.3707923027792714,-1.3188657354934452,0.2207278856438983
AVERY,0.24406345334843924,-0.3418593618280107,-1.3187609241138407,-1.0146667908388922,0.42267532891044823
BEAUFORT,-0.47011695392727343,0.10504627053799101,-0.5844876323370156,1.4197789682798294,-0.05364838962272123
BERTIE,-1.4058726682225287,1.9512333395964734,-0.9562545451265795,0.5640483173715491,0.17433805042773765
BLADEN,-0.6301101087968622,0.7969589217994072,-0.3151064133928768,0.6018700912674805,0.5080137801572696
BRUNSWICK,0.38293190625815215,-1.460491293176716,-1.6576840948027092,1.9060839621426755,-1.4738751195351327
BUNCOMBE,1.0528963269411424,-0.7332911729126158,-0.4926474338760337,-0.06972957694602551,-0.6436866759841522
BURKE,-0.39738680704486445,-0.25018760114555777,-0.41448875146125763,-0.9552700269727095,0.23695353376980602
CABARRUS,1.7842303495875602,-0.6834799958496938,1.6574225584558697,-0.608910731733949,-0.6442711126419497
CALDWELL,-0.1949579001963866,-0.3914080806997703,-0.17053486945886248,-1.0185763634703426,0.07246358218801897
CAMDEN,0.7167905080006208,-1.1231227475425478,1.1503875519781839,0.5763098547485898,-3.009582431356959
CARTERET,0.764696918841691,-1.0635281964291603,-1.1002773089647675,2.3696836706165416,-1.6444506560146586
CASWELL,-0.7031336022429898,-0.13210589844040882,-0.33512955414423856,-0.2727139503019837,-0.4251350999711267
CATAWBA,0.9029181930378967,-0.7214315503613044,0.6480095289269004,-0.252486730219,0.006422799493203598
CHATHAM,0.49670986629218017,-1.3257246267470606,-0.04547768233596227,0.3089930550839684,-0.4591280617776637
CHEROKEE,-0.8808626961314984,-0.40189162123455935,-1.6905509101339442,-1.060408282772138,0.23807254913501755
CHOWAN,-0.6177457578030697,0.7811950834923673,-0.5570451276129735,0.9896424926554933,-0.9683396772138845
CLAY,-0.2573053890771231,-0.43928375407190196,-1.929784096110447,-1.6038657236581477,0.6028822686545774
CLEVELAND,-0.22654675496712773,0.45557511851827825,0.30189840726279543,-0.6518464520722891,-0.018139545728076842
COLUMBUS,-0.9443006166540379,0.9168673419171642,-0.13438063097348496,0.4639028895290158,0.9126138143618028
CRAVEN,0.6004840582328451,-0.12040386414076844,0.23018642544703274,1.1773007696814892,-0.6795099120120485
CUMBERLAND,1.2901473919065787,0.9440095337815613,2.0676324063743405,0.6764749439692913,-0.35288692057523025
CURRITUCK,0.5503097226279917,-1.6022861757644369,0.3348367108112108,1.08103769696969,-1.7019337816617315
DARE,1.3497260030845941,-1.7213661229417447,-0.9133791973813609,2.9304805391433755,-1.8142780565249255
DAVIDSON,0.41306536411298,-0.5193500203929061,0.20961706044887649,-0.28148498967739133,0.008212229442159479
DAVIE,0.31105089309472017,-1.1938268033095705,-0.002939778354297451,-0.41157650304814863,-0.7731252226245797
DUPLIN,-1.076154572597263,0.18705532993218857,1.3036055149369283,0.3916026197967875,2.545830314723052
DURHAM,2.4827468046769066,-0.1639898888103835,1.117471621661056,0.4838758587597405,-0.04552031584797847
EDGECOMBE,-0.6654841483626237,2.178179168265629,0.41693426170501213,-0.29552111251324226,0.7674562448249983
FORSYTH,1.8031242577137725,0.14302332253370628,0.9526139612172441,0.22829454118506537,0.18884940082560142
FRANKLIN,-0.20380383431790713,-0.5950969239754483,0.9896932603712724,-0.2055213597051072,-0.391739659967847
GASTON,1.06245062551416,-0.3942606916993282,0.5203376816349334,-0.14083670536296877,-0.5178747997472375
GATES,-1.6584699521663737,-0.09269175926794043,-0.13637361791562058,-0.29011552221438025,-1.0016913548626527
GRAHAM,-1.227302983224677,-0.1694053961953714,-0.8582552916446938,-2.3754580783368153,0.47733616940404494
GRANVILLE,-0.04785378140026238,-0.46853209581093525,0.4992294678765656,0.46207452057593845,-0.3434843470485766
