,Factor1,Factor2,Factor3,Factor4,Factor5
SS Loadings,5.228751111139447,4.317345719511567,3.3283186633073814,2.4220882337659493,2.290910103169584
Proportion Var,0.2011058119669018,0.16605175844275258,0.12801225628105312,0.09315723976022881,0.08811192704498401
Cumulative Var,0.2011058119669018,0.36715757040965435,0.49516982669070747,0.5883270664509362,0.6764389934959203
